Date;EEM;EWZ;FXI;GDX;HYG;SLV;SPY;TLT;XLF;XLU
2011-09-01;-0.5380106251142158;0.6259597894799684;-1.3978796287765438;0.923569805893254;-0.7042998134555334;0.17305239432370279;-1.04729075970591;1.812578215016769;-2.242148177687575;-0.6491626576137444
2011-09-02;-2.2577588761464207;-3.110306384243655;-2.546603352106369;2.4140147810187695;-0.4690580539205569;4.096741926600966;-2.554989172240363;3.2486013360296884;-4.128444854636926;-1.1285930326199178
2011-09-06;-1.0346494007868912;-1.4563111435752618;0.13469622440533957;0.6624443868769259;-1.1839066428699696;-2.678997297154051;-0.7297417237900228;1.0399059165678848;-1.754387607338026;-0.4806243406784705
2011-09-07;2.9661983329040797;2.5107291012117505;1.8294332490548904;0.13774712630791885;0.48854037801753236;-1.266749007133272;2.8207565706604543;-1.908865379239899;4.78896213727138;1.1168092965769816
2011-09-08;-2.2195954204895507;-1.2246177172014927;-2.377801182203454;1.834016418531581;0.3125411209266682;1.7024487100619323;-1.0391553666025843;0.8967805406176144;-2.168867525185625;-0.05970285899603578
2011-09-09;-3.3808295847323033;-4.315756351722266;-2.7063598899921826;-1.2456764758722594;-0.9000765932721255;-1.69820655557833;-2.6209700290543814;1.066569127595618;-3.1670598190910115;-2.03106426067281
2011-09-12;-0.19994506301782566;-1.6073470930218048;-0.4450621530363241;-2.8875401789637767;-0.8616649830412992;-3.405728165165478;0.6469979398264991;0.10553403178983345;1.1447341833999314;0.823172146475537
2011-09-13;0.1502663982780872;-0.21670455822291323;0.2514673101023712;0.7668197997946713;0.7634502355398753;1.8650985018395128;0.9171164066316351;-1.4231772999410142;0.646719628003356;0.6652592160064419
2011-09-14;-0.275070281906975;0.8519851592601047;0.2508365382069888;-1.8947060603626276;0.6644127389454857;-0.6772020692173752;1.3844104912406063;0.846630946785365;1.2048264344418858;0.6908967735385296
2011-09-15;1.4543580762868658;0.9110472863865793;1.0842351304229947;-0.5857193962475971;0.6716093410786161;-2.045448459103083;1.725724647059823;-1.5288116834100696;2.539676328185081;1.2529778138712144
2011-09-16;0.17300963027229166;0.04924917087314462;0.7150668789020376;2.085989473257732;-0.057514435649475004;1.5467864397005426;0.07411375909120999;0.7269115645476054;-0.07739862828695099;0.11785774055943499
2011-09-19;-2.960762359694802;-2.477443998899209;-3.304202948567314;-0.9826876651339633;-0.14961129512155447;-1.8786440092304235;-0.9957201431026297;1.906628145383471;-2.7110775863440795;-0.5591484086773457
2011-09-20;-0.7373529164149684;-1.1271840249408305;-0.5365677140009129;3.3868899286162435;0.1613639767189312;0.4657187530904938;-0.11636554940520627;0.4196567305996046;-0.31846824178461963;1.4501268141261514
2011-09-21;-3.7141412114125916;-4.372978857931442;-4.400917086983758;-2.0569838955018183;-0.8630609744887718;-0.6953398017811474;-2.9458275521902832;3.3083780529036044;-4.952084646082755;-1.83779835429414
2011-09-22;-7.023142801095961;-6.779361782150528;-6.355799223872771;-7.747354755458192;-1.3580941941061409;-9.439841998727182;-3.2324416803979017;3.758637238182394;-2.8571349648863653;-1.6939068914628597
2011-09-23;2.6609450210998142;2.309599348290381;2.3469703615692783;-4.873523485380216;0.27064687979951874;-14.146617656761995;0.6025166591337117;-1.8599747112098663;1.0380623188770866;0.9975755685951215
2011-09-26;1.505008597421531;1.6604537867205504;-0.4338375818484175;1.6486444029275127;0.37554242255886106;-0.7004639348870079;2.3780138510400173;-1.605563528931142;4.452051593301554;0.8081426488979249
2011-09-27;3.18507336746241;2.037065078845357;5.073131650267904;-0.4708762766745256;0.11691625809457928;4.70271950622414;1.1183784202073;-1.5308265658740328;0.49180812160360965;0.35629136222521396
2011-09-28;-3.0069212694434855;-2.571943065504523;-3.7618385847382196;-4.433150153891319;-1.1211013841698314;-7.378887492559838;-2.0418593731369117;-0.034168374162135695;-2.8548132415732064;-1.005917633912523
2011-09-29;1.371742083770755;-0.25844451611721775;1.2926997452994193;0.8984192437555105;-0.18896425673188277;3.7755393611142107;0.7903453768744795;0.692128144102;2.7707833889615285;1.6138700845868659
2011-09-30;-5.006771990851744;-3.738664637056588;-6.320267193406326;0.2907502288957087;-1.9879307332966611;-3.5046704577662235;-2.498924127201896;2.5118862914589313;-3.513075891792683;-1.1176502003389266
2011-10-03;-2.1082561137862332;-2.1534300481241497;-3.503081175409317;-1.340818775471786;-1.8471553126578;2.006225965988606;-2.8457809785947474;2.4917172440354074;-4.487718313264121;-2.379533796777844
2011-10-04;1.5424876888308514;0.15720540777006686;0.1344568589154438;-3.5812685686254175;-0.3075030634880127;-1.3563907142584042;2.1923005785722482;-1.2680718243946454;3.9893538964559827;-0.48750715691610047
2011-10-05;2.3215860918912368;2.3935596954828497;4.061762495085963;4.552379789806538;1.2214655478018033;1.9594351730297666;1.8515238551357616;-0.7198930536620907;1.4492713009813807;0.06123838902973855
2011-10-06;3.305322913048103;4.981801795809537;1.4193565614761816;2.5141211212611037;1.548021244385489;5.19218113098443;1.8091240412080767;-1.8457464176862115;3.109253098549236;1.774779715242425
2011-10-07;-1.1930651536413928;-1.368862908318469;-1.272263396105766;-2.470231701333958;0.08402316273625754;-3.108978195459944;-0.6695843365101983;-0.7387549215261857;-3.5859853451423396;0.42093569275696296
2011-10-10;4.473109576136247;3.9045162372402853;5.315714118926618;3.5714268336838773;2.146798961970431;3.407213702423073;3.3445707174855066;-1.4123800736781211;5.156381550978217;1.9461008427739568
2011-10-11;0.052536007155223885;1.015137452064896;2.171926977659222;0.12315217212579554;-1.1036689353299267;0.3838737396229863;0.10034714446403026;-0.3345624008487813;-0.08038507072385404;-0.9104186946833903
2011-10-12;2.8091354437852933;2.8208717201809286;3.9520947141318485;0.8434362036958465;2.3269607103860057;1.2428339943510114;0.8771955543255494;-1.4546414503073146;2.5744200237684645;-0.23711270620874192
2011-10-13;-0.8937652591544221;-0.9087770611629686;-1.1808750950378144;-1.934135950786875;-0.41768256196105247;-2.6125272639183295;-0.19875599484019402;0.995719635705572;-2.352945834448983;0.0
2011-10-14;2.0097880744566643;1.7304031565282596;1.0492473950599601;2.9850752338569375;0.6990544813247235;1.2928235669872334;1.709399653204735;-1.4529104428618655;1.2048264344418858;0.9506824012918802
