Date;BZ=F;EEM;EXI;GC=F;HYG;IEV;IVV;IXG;IXN;IYR;TLT
2008-01-02;4.251462896794567;-1.650068530278881;-0.4737828064492966;2.6470205940462677;-1.2112492641645933;-0.2711563623088331;-1.2470899321185835;-1.5161179034638539;-1.4678943961009772;-0.8371728005752477;1.440248141270839
2008-01-03;-0.2452962722327645;0.8997644878356637;-0.1428248385507036;1.096852323694586;-0.19092128158063604;0.175411685287874;-0.13114730044815337;-0.9796256332828657;-0.03103397546542208;-3.2386745467243183;-0.13774107161761417
2008-01-04;-0.8299155443209583;-3.003677864063825;-2.9715391284272363;-0.38089205160825035;-0.11075355630177919;-2.3461548418217126;-2.4322421340999045;-2.3255951288780885;-4.9674133315225415;-3.172590285717991;0.021220625005957672
2008-01-07;-2.479596552513197;0.7326980441330511;-0.98264571772545;-0.4055150155257481;-0.594794570007251;0.5020393236501608;0.44619097254900986;0.4735672471110064;-1.0453849043186247;0.9338487488289138;0.4349034945650532
2008-01-08;1.2183510258662045;-0.775377244019182;-0.744296050682558;2.1405333802528625;-0.578091335232156;-0.9098601810880624;-1.8473302382915335;-2.4613595150015155;-3.7306409789386707;-3.6358093462261043;-0.1161804002809741
2008-01-09;-1.2246160327963218;3.2779953882854818;0.31661617036191636;0.17084282460138045;-1.0913273877410479;0.4140964001537517;1.3217868026214497;2.013416145245417;3.3950863300042045;1.9707111109845243;0.19034539746110024
2008-01-10;-2.2782679488231428;1.1785179682839653;0.448512962909553;1.3871531787414737;0.742475834169487;0.08067429049971597;0.7018530593148276;1.3026274888508826;0.06634015946540561;1.3214536785420394;-1.350899453487464
2008-01-11;-1.2470196385344856;-2.812717570186085;-2.3813582234215147;0.4934353839489036;0.21498680690243965;-1.7377114599633758;-1.2108969356137367;-1.7015262514962437;-1.4418309734187784;-0.16304593298047676;0.7809587189624212
2008-01-14;2.0314027454929606;1.4709072884072416;1.8634660409541537;0.613770801232727;-0.34737712381893715;1.6590656298074435;1.0190634196994175;1.6120377680686193;2.0682743180955976;-0.27760314008019593;0.3715671475002402
2008-01-15;-2.087811935256889;-4.523208682001778;-2.5611267304481045;-0.06654565241615007;0.2563374025435161;-3.1294624922344694;-2.4761700182989843;-3.5890552168290735;-1.663924025376362;-2.603592263407095;1.1211425772771566
2008-01-16;-1.6267347794297504;-4.1611257316434;-1.8091906284533388;-2.264153653059109;-0.11247082761540739;-2.166055634134245;-0.6365758122521048;-1.2544097322252368;-3.21662898105336;1.2946086783097277;-0.7216115537426404
2008-01-17;-0.8379888268156388;-2.9116142305130377;-2.7811398703909695;-0.12491206182529968;-0.7062658983972292;-1.4287606309841827;-2.810143834112644;-2.950390703822303;-1.1078712917724776;-1.2116558771662511;1.2957268888408313
2008-01-18;0.5408488528829247;2.281294725475913;1.036999736247024;0.14780986844442623;0.7834288858906469;0.10561506776427532;-0.5318769310194704;0.2955699590660332;0.140088178525688;-0.8400378065636982;-0.6863894818142202
2008-01-22;-0.8741526161007318;-2.5110358516104103;-0.3361997768557612;0.9990903627302483;-0.6955281460526597;-3.1259161913328337;-1.1898104677762644;-2.329515382400249;-1.8003960302933053;3.3717242732786756;1.0681087074857931
2008-01-23;-2.0689590331258056;0.6363337462550467;-2.1484580903019523;-0.7981087883080273;0.1957171167524363;-0.6532446609420095;2.172091679028476;4.137951180507637;0.4984019202524337;8.178986913271302;-0.22789617666799655
